Test point,Latitude,Longitude,Height(ASL)(m),Distance from the Gateway(Kerlink)(km),Distance from the Gateway(Multitech)(km),meansnr(multitech),meansnr(kerlink),rssi(multitech),rssi(kerlink)
Sensor-location,-0.406682,36.962978,1725,0.979264179,0.962691532,3.791803279,6.742105263,-101.2786885,-107.1578947
Conservancy Junction,-0.389861,36.956863,1768,1.027195106,1.019507215,7.635,3.865957447,-95.625,-114.4255319
Muringato 1,-0.406104,36.948135,1734,1.723605501,1.60437366,2.491525424,-6.286666667,-104.4745763,-120.5666667
Muringato-Bridge-Main,-0.402339,36.945244,1729,1.85644873,1.736459427,2.074725275,-7.366666667,-104.7252747,-122.7777778
King'ong'o - Almasi bottlers,-0.414613,36.957924,1788,1.878392748,1.813928771,-0.704545455,-3.384,-108.1818182,-120.56
King'ong'o Shell,-0.410647,36.94838,1787,2.011539228,1.899985472,-0.284,-2.821428571,-107.72,-121.0357143
King'ong'o - Gamerock,-0.412615,36.979656,1746,2.602315092,2.663916828,1.411111111,6.918644068,-105.8518519,-107.7457627
Nyaribo Shopping centre,-0.376903,36.983826,1761,3.419272715,3.532537694,-1.507692308,2.571111111,-109.3846154,-116.2666667
Embassy-Golden gates,-0.371265,36.930866,1856,4.498860356,4.445459779,-5.948148148,-4.025,-110.0740741,-121.95
Kiganjo Police (Junction),-0.3905,37.002533,1737,4.658466235,4.776913978,1.104285714,8.071929825,-107.9428571,-111.8947368
Nyeri Hill 5 (Mathari),-0.414681,36.918831,1839,5.080518019,4.959570597,-13.03,-14.3,-110.9,-122.8333333
Nyeri Hill 1,-0.410225,36.913601,1917,5.484925375,5.365104421,5.808695652,6.033333333,-100.3913043,-111.6666667
Nyeri Hill 2,-0.406542,36.909702,1953,5.826624853,5.708695661,-11.54545455,-2.5,-111,-121.3125
Muringato bridge -Kamwenja Road,-0.39276,36.908562,1829,5.904352735,5.797507348,-20.9,-15.2,,-124
Nyeri Hill 3 (Mwenji),-0.404288,36.904404,1941,6.377205489,6.260897135,,-9.675,-111.6666667,-122.75
Chaka-Nyaribo Junction,-0.35004,37.000561,1758,6.866706569,6.973283717,-6.694285714,-4.038095238,-110.2571429,-121.2142857
Nyeri Hill 4 (Kabendera),-0.40638,36.896317,1985,7.29850953,7.181606861,-13.03,-14.3,-110.9,-122.8333333
Maumau-Road-Muringato bridge,-0.398831,36.892372,1900,7.678878061,7.566361041,,-14.90909091,,-122.6363636
